# culture	source	translation
ar	A	A
ar	B	B
ar	Bytes	بايت
ar	Create Deterministic GsId	إنشاء GsId حتمي
ar	create deterministic gsid gsid	إنشاء حتمي gsid gsid
ar	D — 16-8-8-8-8-16	D — 16 - 8 - 8 - 8 - 8 - 16
ar	Empty GsId	GsId فارغ
ar	empty gsid gsid	فارغ gsid gsid
ar	Equal (GsId)	يساوي (GsId)
ar	equal gsid gsid	يساوي gsid gsid
ar	Format	تنسيق
ar	From Bytes	إنشاء من بايتات
ar	from bytes gsid	from بايت gsid
ar	Get Stable Hash	الحصول على تجزئة ثابتة
ar	get stable hash gsid	الحصول على ثابت تجزئة gsid
ar	GSID	GSID
ar	GsId	GsId
ar	GsId Blueprint Library	مكتبة Blueprint لـ GsId
ar	GsId Format	تنسيق GsId
ar	GsId Letter Case	حالة أحرف GsId
ar	Input Bytes	بايتات الإدخال
ar	Is Empty	هل هو فارغ
ar	is empty gsid	هل فارغ gsid
ar	Is Valid	هل هو صالح
ar	is valid gsid	هل صالح gsid
ar	Less (GsId)	أقل (GsId)
ar	less gsid gsid	أقل gsid gsid
ar	Letter Case	حالة الأحرف
ar	Lowercase	أحرف صغيرة
ar	N — 64 hexadecimal characters	N — 64 حرفًا سداسيًا عشريًا
ar	New GsId	إنشاء GsId
ar	new gsid gsid	new gsid gsid
ar	Not Equal (GsId)	لا يساوي (GsId)
ar	not equal gsid gsid	غير يساوي gsid gsid
ar	Out Gs Id	GsId المُنشأ
ar	Parse	تحليل
ar	parse gsid	تحليل gsid
ar	Result	النتيجة
ar	Stable Hash	تجزئة ثابتة
ar	Success	نجاح
ar	Text	نص
ar	To Bytes	تحويل إلى بايتات
ar	to bytes gsid	to بايت gsid
ar	To String	تحويل إلى سلسلة
ar	to string gsid	to سلسلة gsid
ar	Try New GsId	محاولة إنشاء GsId
ar	try new gsid gsid	محاولة إنشاء gsid
ar	Uppercase	أحرف كبيرة
ar	Value	قيمة
de	A	A
de	B	B
de	Bytes	Bytes
de	Create Deterministic GsId	Deterministische GsId erstellen
de	create deterministic gsid gsid	Erstellen Deterministisch gsid gsid
de	D — 16-8-8-8-8-16	D — 16 - 8 - 8 - 8 - 8 - 16
de	Empty GsId	Leere GsId
de	empty gsid gsid	Leer gsid gsid
de	Equal (GsId)	Gleich (GsId)
de	equal gsid gsid	Gleich gsid gsid
de	Format	Format
de	From Bytes	Aus Bytes erstellen
de	from bytes gsid	from Bytes gsid
de	Get Stable Hash	Stabilen Hash abrufen
de	get stable hash gsid	Abrufen Stabil Hash gsid
de	GSID	GSID
de	GsId	GsId
de	GsId Blueprint Library	GsId-Blueprint-Bibliothek
de	GsId Format	GsId-Format
de	GsId Letter Case	GsId-Groß-/Kleinschreibung
de	Input Bytes	Eingabebytes
de	Is Empty	Ist leer
de	is empty gsid	Ist Leer gsid
de	Is Valid	Ist gültig
de	is valid gsid	Ist Gültig gsid
de	Less (GsId)	Kleiner (GsId)
de	less gsid gsid	Kleiner gsid gsid
de	Letter Case	Groß-/Kleinschreibung
de	Lowercase	Kleinbuchstaben
de	N — 64 hexadecimal characters	N — 64 Hexadezimalzeichen
de	New GsId	Neue GsId
de	new gsid gsid	new gsid gsid
de	Not Equal (GsId)	Ungleich (GsId)
de	not equal gsid gsid	Nicht Gleich gsid gsid
de	Out Gs Id	Erzeugte GsId
de	Parse	Parsen
de	parse gsid	Parsen gsid
de	Result	Ergebnis
de	Stable Hash	Stabiler Hash
de	Success	Erfolg
de	Text	Text
de	To Bytes	In Bytes umwandeln
de	to bytes gsid	to Bytes gsid
de	To String	In Zeichenfolge umwandeln
de	to string gsid	to Zeichenfolge gsid
de	Try New GsId	GsId-Erstellung versuchen
de	try new gsid gsid	gsid-erstellung versuchen
de	Uppercase	Großbuchstaben
de	Value	Wert
en	A	A
en	B	B
en	Bytes	Bytes
en	Create Deterministic GsId	Create Deterministic GsId
en	create deterministic gsid gsid	create deterministic gsid gsid
en	D — 16-8-8-8-8-16	D — 16-8-8-8-8-16
en	Empty GsId	Empty GsId
en	empty gsid gsid	empty gsid gsid
en	Equal (GsId)	Equal (GsId)
en	equal gsid gsid	equal gsid gsid
en	Format	Format
en	From Bytes	From Bytes
en	from bytes gsid	from bytes gsid
en	Get Stable Hash	Get Stable Hash
en	get stable hash gsid	get stable hash gsid
en	GSID	GSID
en	GsId	GsId
en	GsId Blueprint Library	GsId Blueprint Library
en	GsId Format	GsId Format
en	GsId Letter Case	GsId Letter Case
en	Input Bytes	Input Bytes
en	Is Empty	Is Empty
en	is empty gsid	is empty gsid
en	Is Valid	Is Valid
en	is valid gsid	is valid gsid
en	Less (GsId)	Less (GsId)
en	less gsid gsid	less gsid gsid
en	Letter Case	Letter Case
en	Lowercase	Lowercase
en	N — 64 hexadecimal characters	N — 64 hexadecimal characters
en	New GsId	New GsId
en	new gsid gsid	new gsid gsid
en	Not Equal (GsId)	Not Equal (GsId)
en	not equal gsid gsid	not equal gsid gsid
en	Out Gs Id	Generated GsId
en	Parse	Parse
en	parse gsid	parse gsid
en	Result	Result
en	Stable Hash	Stable Hash
en	Success	Success
en	Text	Text
en	To Bytes	To Bytes
en	to bytes gsid	to bytes gsid
en	To String	To String
en	to string gsid	to string gsid
en	Try New GsId	Try New GsId
en	try new gsid gsid	try new gsid
en	Uppercase	Uppercase
